Id,Hashed_Context,Pronoun,Position,Candidate_Antecedent,Manual Evaluation,Predicate,Antecedent_Role,Pronoun_Role,SRL_Match,Predicate_Distance
17-their-0,Admin clients can login through their#0pre-assigned username and password.,their,5,Admin clients,UA,login,ARG0,ARG1,1,0
18-their-0,Extra admin clients can either login using their#0manually registered credentials or social accounts (Gmail).,their,7,Extra admin clients,A,login,ARG0,ARGM-MNR,0,0
19-they-0,User will be kept logged in if they#0opt to stay singed in at the time of login in.,they,7,User,A,kept,ARG1,ARGM-ADV,0,1
20-their-0,Clients will be provided associated access to their#0accounts after logging in.,their,7,Clients,UA,provided,ARG2,ARG1,1,0
20-their-0,Clients will be provided associated access to their#0accounts after logging in.,their,7,associated access,UA,provided,ARG1,ARG1,1,0
21-themselves-0,Extra admin clients can get themselves#0registered against their email addresses.,themselves,5,Extra admin clients,UA,get,ARG0,ARG1,1,0
21-their-1,Extra admin clients can get themselves registered against their#1email addresses.,their,8,Extra admin clients,UA,get,ARG0,ARG1,1,0
23-their-0,Clients will be able to change password from their#0profile.,their,8,Clients,UA,be,ARG1,ARG2,1,0
23-their-0,Clients will be able to change password from their#0profile.,their,8,password,UA,be,ARG2,ARG2,1,0
24-their-0,Clients will be asked to provide new password after confirming their#0old password.,their,10,Clients,UA,asked,ARG2,ARG1,1,0
24-their-0,Clients will be asked to provide new password after confirming their#0old password.,their,10,new password,UA,asked,ARG1,ARG1,1,0
25-their-0,Clients can request a link to reset their#0password if they have forgotten their password.,their,7,Clients,UA,request,ARG0,ARG1,1,0
25-their-0,Clients can request a link to reset their#0password if they have forgotten their password.,their,7,a link,UA,request,ARG1,ARG1,1,0
25-they-1,Clients can request a link to reset their password if they#1have forgotten their password.,they,10,Clients,UA,request,ARG0,ARGM-ADV,0,0
25-they-1,Clients can request a link to reset their password if they#1have forgotten their password.,they,10,a link,UA,request,ARG1,ARGM-ADV,0,0
25-they-1,Clients can request a link to reset their password if they#1have forgotten their password.,they,10,their password,UA,request,ARG1,ARGM-ADV,0,0
25-their-2,Clients can request a link to reset their password if they have forgotten their#2password.,their,13,Clients,UA,request,ARG0,ARGM-ADV,0,0
25-their-2,Clients can request a link to reset their password if they have forgotten their#2password.,their,13,a link,UA,request,ARG1,ARGM-ADV,0,0
25-their-2,Clients can request a link to reset their password if they have forgotten their#2password.,their,13,their password,UA,request,ARG1,ARGM-ADV,0,0
26-their-0,Clients will receive a link in their#0mailboxes.,their,6,Clients,UA,receive,ARG0,ARG1,1,0
26-their-0,Clients will receive a link in their#0mailboxes.,their,6,a link,UA,receive,ARG1,ARG1,1,0
27-it-0,Seller/Renter can view the status of book whether it#0is delivered or not.,it,10,Seller/Renter,UA,view,ARG0,ARGM-ADV,0,0
27-it-0,Seller/Renter can view the status of book whether it#0is delivered or not.,it,10,the status,UA,view,ARG1,ARGM-ADV,0,0
27-it-0,Seller/Renter can view the status of book whether it#0is delivered or not.,it,10,book,UA,view,ARG1,ARGM-ADV,0,0
28-it-0,Buyer can view status of book whether it#0is received or not.,it,7,Buyer,UA,view,ARG0,ARGM-ADV,0,0
28-it-0,Buyer can view status of book whether it#0is received or not.,it,7,status,UA,view,ARG1,ARGM-ADV,0,0
28-it-0,Buyer can view status of book whether it#0is received or not.,it,7,book,UA,view,ARG1,ARGM-ADV,0,0
29-his-0,The application shall enable driver to SignIn into system by providing his#0/ her valid email and password,his,11,The application,A,enable,ARG0,ARG1,1,0
29-his-0,The application shall enable driver to SignIn into system by providing his#0/ her valid email and password,his,11,driver,A,enable,ARG2,ARG1,1,0
29-his-0,The application shall enable driver to SignIn into system by providing his#0/ her valid email and password,his,11,SignIn,A,enable,ARG1,ARG1,1,0
29-his-0,The application shall enable driver to SignIn into system by providing his#0/ her valid email and password,his,11,system,A,enable,ARG1,ARG1,1,0
29-her-1,The application shall enable driver to SignIn into system by providing his / her#1valid email and password,her,13,The application,A,enable,ARG0,ARG1,1,0
29-her-1,The application shall enable driver to SignIn into system by providing his / her#1valid email and password,her,13,driver,A,enable,ARG2,ARG1,1,0
29-her-1,The application shall enable driver to SignIn into system by providing his / her#1valid email and password,her,13,SignIn,A,enable,ARG1,ARG1,1,0
29-her-1,The application shall enable driver to SignIn into system by providing his / her#1valid email and password,her,13,system,A,enable,ARG1,ARG1,1,0
30-her-0,The application shall enable the driver to select his/ her#0Gender,her,9,The application,UA,enable,ARG0,ARG1,1,0
30-her-0,The application shall enable the driver to select his/ her#0Gender,her,9,the driver,UA,enable,ARG2,ARG1,1,0
30-her-0,The application shall enable the driver to select his/ her#0Gender,her,9,his/,UA,enable,ARG1,ARG1,1,0
31-his-0,The application shall enable driver to insert his#0/ her CNIC#,his,7,The application,UA,enable,ARG0,ARG1,1,0
31-his-0,The application shall enable driver to insert his#0/ her CNIC#,his,7,driver,UA,enable,ARG2,ARG1,1,0
31-her-1,The application shall enable driver to insert his / her#1CNIC#,her,9,The application,UA,enable,ARG0,ARG1,1,0
31-her-1,The application shall enable driver to insert his / her#1CNIC#,her,9,driver,UA,enable,ARG2,ARG1,1,0
32-his-0,The application shall enable the driver to insert his#0/her City,his,8,The application,UA,enable,ARG0,ARG1,1,0
32-his-0,The application shall enable the driver to insert his#0/her City,his,8,the driver,UA,enable,ARG2,ARG1,1,0
33-his-0,The application shall enable the driver to update his#0/her City,his,8,The application,A,enable,ARG0,ARG1,1,0
33-his-0,The application shall enable the driver to update his#0/her City,his,8,the driver,A,enable,ARG2,ARG1,1,0
34-his-0,The driver will get points if someone signup using his#0/her valid link,his,9,The driver,A,get,ARG0,ARGM-ADV,0,0
34-his-0,The driver will get points if someone signup using his#0/her valid link,his,9,points,A,get,ARG1,ARGM-ADV,0,0
35-his-0,The application shall enable driver to view his#0/ her trip history,his,7,The application,UA,enable,ARG0,ARG1,1,0
35-his-0,The application shall enable driver to view his#0/ her trip history,his,7,driver,UA,enable,ARG2,ARG1,1,0
35-her-1,The application shall enable driver to view his / her#1trip history,her,9,The application,UA,enable,ARG0,ARG1,1,0
35-her-1,The application shall enable driver to view his / her#1trip history,her,9,driver,UA,enable,ARG2,ARG1,1,0
36-our-0,Driver shall have to agree with our#0terms and condition to use our application,our,6,Driver,A,agree,ARG0,ARG1,1,0
36-our-1,Driver shall have to agree with our terms and condition to use our#1application,our,12,Driver,A,use,ARG0,ARG1,1,0
36-our-1,Driver shall have to agree with our terms and condition to use our#1application,our,12,our terms,A,use,ARG1,ARG1,1,7
36-our-1,Driver shall have to agree with our terms and condition to use our#1application,our,12,our terms and condition,A,use,ARG1,ARG1,1,7
36-our-1,Driver shall have to agree with our terms and condition to use our#1application,our,12,condition,A,use,ARG1,ARG1,1,7
37-his-0,Application shall enable user to Login into system by providing his#0/ her valid email and password,his,10,Application,UA,enable,ARG0,ARG1,1,0
37-his-0,Application shall enable user to Login into system by providing his#0/ her valid email and password,his,10,user,UA,enable,ARG2,ARG1,1,0
37-his-0,Application shall enable user to Login into system by providing his#0/ her valid email and password,his,10,system,UA,enable,ARG1,ARG1,1,0
37-her-1,Application shall enable user to Login into system by providing his / her#1valid email and password,her,12,Application,UA,enable,ARG0,ARG1,1,0
37-her-1,Application shall enable user to Login into system by providing his / her#1valid email and password,her,12,user,UA,enable,ARG2,ARG1,1,0
37-her-1,Application shall enable user to Login into system by providing his / her#1valid email and password,her,12,system,UA,enable,ARG1,ARG1,1,0
38-her-0,Application shall enable user to select his/ her#0Gender,her,7,Application,UA,enable,ARG0,ARG1,1,0
38-her-0,Application shall enable user to select his/ her#0Gender,her,7,user,UA,enable,ARG2,ARG1,1,0
38-her-0,Application shall enable user to select his/ her#0Gender,her,7,his/,UA,enable,ARG1,ARG1,1,0
39-our-0, Blockchain dashboard will display all the stats and information regarding our#0private blockchain network.,our,11,Blockchain dashboard,A,display,ARGM-MOD,ARG1,0,0
39-our-0, Blockchain dashboard will display all the stats and information regarding our#0private blockchain network.,our,11,all the stats,A,display,ARG1,ARG1,1,0
39-our-0, Blockchain dashboard will display all the stats and information regarding our#0private blockchain network.,our,11,all the stats and information,A,display,ARG1,ARG1,1,0
39-our-0, Blockchain dashboard will display all the stats and information regarding our#0private blockchain network.,our,11,information,A,display,ARG1,ARG1,1,0
40-we-0,Through blockchain dashboard we#0will be able to see busy and online users and all tasks,we,3,blockchain dashboard,A,be,ARGM-MNR,ARG1,0,0
42-their-0,"System shall allow Candidate, Admin logout the system from their#0own page.",their,10,System,A,logout,ARG0,ARG2,1,5
42-their-0,"System shall allow Candidate, Admin logout the system from their#0own page.",their,10,Candidate,A,logout,ARG1,ARG2,1,4
42-their-0,"System shall allow Candidate, Admin logout the system from their#0own page.",their,10,Admin,A,logout,ARG0,ARG2,1,0
42-their-0,"System shall allow Candidate, Admin logout the system from their#0own page.",their,10,the system,A,logout,ARG1,ARG2,1,0
43-it-0,System shall allow The Candidate to give feedback it#0shows reviews of Candidate ,it,8,System,A,allow,ARG0,ARG1,1,0
43-it-0,System shall allow The Candidate to give feedback it#0shows reviews of Candidate ,it,8,The Candidate,A,allow,ARG1,ARG1,1,0
43-it-0,System shall allow The Candidate to give feedback it#0shows reviews of Candidate ,it,8,feedback,A,allow,ARG1,ARG1,1,0
44-their-0,The website shall enable the user to select username and password for their#0account.,their,12,The website,A,enable,ARG0,ARG1,1,0
44-their-0,The website shall enable the user to select username and password for their#0account.,their,12,the user,A,enable,ARG2,ARG1,1,0
45-their-0,"The website shall enable the user to enter their#0username and password of their account, in order to access their account.",their,8,The website,A,enable,ARG0,ARG1,1,0
45-their-0,"The website shall enable the user to enter their#0username and password of their account, in order to access their account.",their,8,the user,A,enable,ARG2,ARG1,1,0
45-their-1,"The website shall enable the user to enter their username and password of their#1account, in order to access their account.",their,13,The website,A,enable,ARG0,ARG1,1,0
45-their-1,"The website shall enable the user to enter their username and password of their#1account, in order to access their account.",their,13,the user,A,enable,ARG2,ARG1,1,0
45-their-1,"The website shall enable the user to enter their username and password of their#1account, in order to access their account.",their,13,password,A,enable,ARG1,ARG1,1,0
45-their-2,"The website shall enable the user to enter their username and password of their account, in order to access their#2account.",their,20,The website,A,enable,ARG0,ARG1,1,0
45-their-2,"The website shall enable the user to enter their username and password of their account, in order to access their#2account.",their,20,the user,A,enable,ARG2,ARG1,1,0
45-their-2,"The website shall enable the user to enter their username and password of their account, in order to access their#2account.",their,20,password,A,enable,ARG1,ARG1,1,0
45-their-2,"The website shall enable the user to enter their username and password of their account, in order to access their#2account.",their,20,their account,A,enable,ARG1,ARG1,1,0
45-their-2,"The website shall enable the user to enter their username and password of their account, in order to access their#2account.",their,20,order,A,enable,ARG1,ARG1,1,0
46-their-0,"Each user will have their#0own
User Name
Email
",their,4,Each user,UA,have,ARG0,ARG1,1,0
47-their-0,"Tasker can be provided the option to submit their#0tasks, and check feedback if they are Sign in. And are registered with any work list.",their,8,Tasker,A,provided,ARG2,ARG1,1,0
47-their-0,"Tasker can be provided the option to submit their#0tasks, and check feedback if they are Sign in. And are registered with any work list.",their,8,the option,A,provided,ARG1,ARG1,1,0
47-they-1,"Tasker can be provided the option to submit their tasks, and check feedback if they#1are Sign in. And are registered with any work list.",they,15,Tasker,A,provided,ARG2,ARG1,1,0
47-they-1,"Tasker can be provided the option to submit their tasks, and check feedback if they#1are Sign in. And are registered with any work list.",they,15,the option,A,provided,ARG1,ARG1,1,0
47-they-1,"Tasker can be provided the option to submit their tasks, and check feedback if they#1are Sign in. And are registered with any work list.",they,15,their tasks,A,provided,ARG1,ARG1,1,0
47-they-1,"Tasker can be provided the option to submit their tasks, and check feedback if they#1are Sign in. And are registered with any work list.",they,15,feedback,A,provided,ARG1,ARG1,1,0
48-their-0,"Customer can invite their#0group members after signing in , or send message on WhatsApp. ",their,3,Customer,UA,invite,ARG0,ARG1,1,0
49-it-0,"Tasker can sent gallery to admin pages after confirmation, it#0will be added on home page.",it,10,Tasker,A,added,ARG0,ARG1,1,11
49-it-0,"Tasker can sent gallery to admin pages after confirmation, it#0will be added on home page.",it,10,gallery,A,added,ARG1,ARG1,1,11
49-it-0,"Tasker can sent gallery to admin pages after confirmation, it#0will be added on home page.",it,10,pages,A,added,ARG2,ARG1,1,11
49-it-0,"Tasker can sent gallery to admin pages after confirmation, it#0will be added on home page.",it,10,confirmation,A,added,ARGM-TMP,ARG1,0,11
50-it-0,"Tasker can sent video to admin pages after confirmation, it#0will be added on home page.
",it,10,Tasker,A,added,ARG0,ARG1,1,11
50-it-0,"Tasker can sent video to admin pages after confirmation, it#0will be added on home page.
",it,10,video,A,added,ARG1,ARG1,1,11
50-it-0,"Tasker can sent video to admin pages after confirmation, it#0will be added on home page.
",it,10,pages,A,added,ARG2,ARG1,1,11
50-it-0,"Tasker can sent video to admin pages after confirmation, it#0will be added on home page.
",it,10,confirmation,A,added,ARGM-TMP,ARG1,0,11
51-his-0,Login Form are provide so the user can have a private space or Dashboard to look upon his#0work details.,his,17,Login Form,UA,are,ARG1,ARGM-PRP,0,0
51-his-0,Login Form are provide so the user can have a private space or Dashboard to look upon his#0work details.,his,17,the user,UA,are,ARGM-PRP,ARGM-PRP,1,0
51-his-0,Login Form are provide so the user can have a private space or Dashboard to look upon his#0work details.,his,17,a private space,UA,are,ARGM-PRP,ARGM-PRP,1,0
51-his-0,Login Form are provide so the user can have a private space or Dashboard to look upon his#0work details.,his,17,a private space or Dashboard,UA,are,ARGM-PRP,ARGM-PRP,1,0
51-his-0,Login Form are provide so the user can have a private space or Dashboard to look upon his#0work details.,his,17,Dashboard,UA,are,ARGM-PRP,ARGM-PRP,1,0
52-his-0,Login Form provided so the user can have a private space or Dashboard to look upon his#0work details and other information.,his,16,Login Form,UA,provided,ARG1,ARGM-PRP,0,0
52-his-0,Login Form provided so the user can have a private space or Dashboard to look upon his#0work details and other information.,his,16,the user,UA,provided,ARGM-PRP,ARGM-PRP,1,0
52-his-0,Login Form provided so the user can have a private space or Dashboard to look upon his#0work details and other information.,his,16,a private space,UA,provided,ARGM-PRP,ARGM-PRP,1,0
52-his-0,Login Form provided so the user can have a private space or Dashboard to look upon his#0work details and other information.,his,16,a private space or Dashboard,UA,provided,ARGM-PRP,ARGM-PRP,1,0
52-his-0,Login Form provided so the user can have a private space or Dashboard to look upon his#0work details and other information.,his,16,Dashboard,UA,provided,ARGM-PRP,ARGM-PRP,1,0
53-his-0,Supervisor can view and mark his#0attendance,his,5,Supervisor,A,view,ARG0,ARG1,1,0
54-his-0,Login Form provided so the user can have Dashboard to look upon his#0work details and other information.,his,12,Login Form,A,provided,ARG1,ARGM-PRP,0,0
54-his-0,Login Form provided so the user can have Dashboard to look upon his#0work details and other information.,his,12,the user,A,provided,ARGM-PRP,ARGM-PRP,1,0
54-his-0,Login Form provided so the user can have Dashboard to look upon his#0work details and other information.,his,12,Dashboard,A,provided,ARGM-PRP,ARGM-PRP,1,0
55-his-0,Manager have the authority to check upon the attendance of his#0own department employees only. ,his,10,Manager,UA,have,ARG0,ARG1,1,0
55-his-0,Manager have the authority to check upon the attendance of his#0own department employees only. ,his,10,the authority,UA,have,ARG1,ARG1,1,0
55-his-0,Manager have the authority to check upon the attendance of his#0own department employees only. ,his,10,the attendance,UA,have,ARG1,ARG1,1,0
56-his-0,Manger can terminate his#0department employees.,his,3,Manger,UA,terminate,ARG0,ARG1,1,0
57-its-0,The robot has to reach its#0target destination safely. ,its,5,The robot,UA,reach,ARG0,ARG1,1,0
58-their-0,The users will be able to create a new profile by entering their#0details.,their,12,The users,UA,be,ARG1,ARG2,1,0
58-their-0,The users will be able to create a new profile by entering their#0details.,their,12,a new profile,UA,be,ARG2,ARG2,1,0
59-its-0,This system must be consistent with its#0services.,its,6,This system,UA,be,ARG1,ARG2,1,0
60-its-0,System shall provide report about total trash dumbed on weekly basis along with its#0humidity measure.,its,13,System,A,provide,ARG0,ARG1,1,0
60-its-0,System shall provide report about total trash dumbed on weekly basis along with its#0humidity measure.,its,13,report,A,provide,ARG1,ARG1,1,0
60-its-0,System shall provide report about total trash dumbed on weekly basis along with its#0humidity measure.,its,13,weekly basis,A,provide,ARG1,ARG1,1,0
61-its-0,System shall provide report about total trash dumbed on monthly basis along with its#0humidity measure.,its,13,System,A,provide,ARG0,ARG1,1,0
61-its-0,System shall provide report about total trash dumbed on monthly basis along with its#0humidity measure.,its,13,report,A,provide,ARG1,ARG1,1,0
61-its-0,System shall provide report about total trash dumbed on monthly basis along with its#0humidity measure.,its,13,monthly basis,A,provide,ARG1,ARG1,1,0
62-its-0,System shall provide report about total trash dumbed on yearly basis along with its#0humidity measure.,its,13,System,A,provide,ARG0,ARG1,1,0
62-its-0,System shall provide report about total trash dumbed on yearly basis along with its#0humidity measure.,its,13,report,A,provide,ARG1,ARG1,1,0
62-its-0,System shall provide report about total trash dumbed on yearly basis along with its#0humidity measure.,its,13,yearly basis,A,provide,ARG1,ARG1,1,0
63-itself-0,The system shall localize itself#0in the environment.,itself,4,The system,A,localize,ARG0,ARG1,1,0
64-its-0,The system shall choose the optimized path from its#0current position to the destination point selected by the user.,its,8,The system,UA,choose,ARG0,ARG2,1,0
64-its-0,The system shall choose the optimized path from its#0current position to the destination point selected by the user.,its,8,the optimized path,UA,choose,ARG1,ARG2,1,0
65-its-0,The system will use IR (Infrared) and Ultrasonic sensors to detect obstacles in its#0path.,its,15,The system,UA,use,ARG0,ARG2,1,0
65-its-0,The system will use IR (Infrared) and Ultrasonic sensors to detect obstacles in its#0path.,its,15,IR,UA,use,ARG1,ARG2,1,0
65-its-0,The system will use IR (Infrared) and Ultrasonic sensors to detect obstacles in its#0path.,its,15,(Infrared,UA,use,ARG1,ARG2,1,0
65-its-0,The system will use IR (Infrared) and Ultrasonic sensors to detect obstacles in its#0path.,its,15,Ultrasonic sensors,UA,use,ARG1,ARG2,1,0
65-its-0,The system will use IR (Infrared) and Ultrasonic sensors to detect obstacles in its#0path.,its,15,obstacles,UA,use,ARG2,ARG2,1,0
66-its-0,The wheelchair shall stop its#0motion after detecting the alarming distance from the obstacle.,its,4,The wheelchair,UA,stop,ARG0,ARG1,1,0
67-his-1,It allows the user to enter his#1/her nickname for the session,his,6,the user,UA,allows,ARG1,ARG1,1,0
67-her-2,It allows the user to enter his/her#2nickname for the session,her,8,the user,UA,allows,ARG1,ARG1,1,0
69-his-0,The system shall enable user to enter his#0credentials,his,7,The system,A,enable,ARG0,ARG1,1,0
69-his-0,The system shall enable user to enter his#0credentials,his,7,user,A,enable,ARG2,ARG1,1,0
71-their-0,The system shall provide the user to watch videos of their#0own choice,their,10,The system,UA,provide,ARG0,ARG1,1,0
71-their-0,The system shall provide the user to watch videos of their#0own choice,their,10,the user,UA,provide,ARG2,ARG1,1,0
71-their-0,The system shall provide the user to watch videos of their#0own choice,their,10,videos,UA,provide,ARG1,ARG1,1,0
73-their-0,User shall login to their#0account.,their,4,User,A,login,ARG0,ARG1,1,0
74-their-0,User should get notifications when someone invests in their#0campaign,their,8,User,A,get,ARG0,ARGM-TMP,0,0
74-their-0,User should get notifications when someone invests in their#0campaign,their,8,notifications,A,get,ARG1,ARGM-TMP,0,0
75-their-0,User should get notifications when admin approves their#0campaign,their,7,User,A,get,ARG0,ARGM-TMP,0,0
75-their-0,User should get notifications when admin approves their#0campaign,their,7,notifications,A,get,ARG1,ARGM-TMP,0,0
75-their-0,User should get notifications when admin approves their#0campaign,their,7,admin,A,get,ARGM-TMP,ARGM-TMP,1,0
76-he-0,The application will allow the Citizen to report online only if he#0agrees to the terms and conditions.,he,11,The application,A,allow,ARG0,ARG1,1,0
76-he-0,The application will allow the Citizen to report online only if he#0agrees to the terms and conditions.,he,11,the Citizen,A,allow,ARG1,ARG1,1,0
77-their-0,The application will allow the inspector to update their#0profile as needed. This includes updating the profile picture.,their,8,The application,UA,allow,ARG0,ARG1,1,0
77-their-0,The application will allow the inspector to update their#0profile as needed. This includes updating the profile picture.,their,8,the inspector,UA,allow,ARG1,ARG1,1,0
78-their-0,The application enables the inspector to update or modify their#0personal details given.,their,9,The application,UA,enables,ARG0,ARG1,1,0
78-their-0,The application enables the inspector to update or modify their#0personal details given.,their,9,the inspector,UA,enables,ARG2,ARG1,1,0
79-his-0,The application will allow the inspector to restore his#0password in case he forgets it through SMS verification.,his,8,The application,UA,allow,ARG0,ARG1,1,0
79-his-0,The application will allow the inspector to restore his#0password in case he forgets it through SMS verification.,his,8,the inspector,UA,allow,ARG1,ARG1,1,0
79-he-1,The application will allow the inspector to restore his password in case he#1forgets it through SMS verification.,he,12,The application,UA,allow,ARG0,ARG1,1,0
79-he-1,The application will allow the inspector to restore his password in case he#1forgets it through SMS verification.,he,12,the inspector,UA,allow,ARG1,ARG1,1,0
79-he-1,The application will allow the inspector to restore his password in case he#1forgets it through SMS verification.,he,12,his password,UA,allow,ARG1,ARG1,1,0
79-he-1,The application will allow the inspector to restore his password in case he#1forgets it through SMS verification.,he,12,case,UA,allow,ARG1,ARG1,1,0
79-it-2,The application will allow the inspector to restore his password in case he forgets it#2through SMS verification.,it,14,The application,UA,allow,ARG0,ARG1,1,0
79-it-2,The application will allow the inspector to restore his password in case he forgets it#2through SMS verification.,it,14,the inspector,UA,allow,ARG1,ARG1,1,0
79-it-2,The application will allow the inspector to restore his password in case he forgets it#2through SMS verification.,it,14,his password,UA,allow,ARG1,ARG1,1,0
79-it-2,The application will allow the inspector to restore his password in case he forgets it#2through SMS verification.,it,14,case,UA,allow,ARG1,ARG1,1,0
80-it-0,"As soon as a citizen registers a complain, this functionality will allow the inspector to view it#0when the application in running in the foreground. ",it,17,a citizen,UA,allow,ARGM-TMP,ARG1,0,0
80-it-0,"As soon as a citizen registers a complain, this functionality will allow the inspector to view it#0when the application in running in the foreground. ",it,17,a complain,UA,allow,ARGM-TMP,ARG1,0,0
80-it-0,"As soon as a citizen registers a complain, this functionality will allow the inspector to view it#0when the application in running in the foreground. ",it,17,this functionality,UA,allow,ARG0,ARG1,1,0
80-it-0,"As soon as a citizen registers a complain, this functionality will allow the inspector to view it#0when the application in running in the foreground. ",it,17,the inspector,UA,allow,ARG1,ARG1,1,0
81-their-0,The application will provide the inspector to logout from their#0sign in account.,their,9,The application,A,provide,ARG0,ARG1,1,0
81-their-0,The application will provide the inspector to logout from their#0sign in account.,their,9,the inspector,A,provide,ARG2,ARG1,1,0
82-his-0,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his#0screen where he can check all the policemen.,his,21,The application,A,shown,ARG0,ARGM-LOC,0,16
82-his-0,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his#0screen where he can check all the policemen.,his,21,the inspector,A,shown,ARG1,ARGM-LOC,0,16
82-his-0,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his#0screen where he can check all the policemen.,his,21,an eye,A,shown,ARG1,ARGM-LOC,0,16
82-his-0,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his#0screen where he can check all the policemen.,his,21,the patrolling policemen,A,shown,ARG1,ARGM-LOC,0,16
82-his-0,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his#0screen where he can check all the policemen.,his,21,A map,A,shown,ARG1,ARGM-LOC,0,0
82-he-1,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his screen where he#1can check all the policemen.,he,24,The application,A,shown,ARG0,C-ARG1,0,16
