ID,Context(cj),Pronoun (pj),DetectedAs,
railway#04,"The user should not be able to update log entries other than for their own login, for the current day and current shift.",their,AMBIGUOUS,
railway#05,Any change in device state shall be reported on the screen not later than 2 seconds from the time it occurs.,it,UNAMBIGUOUS,
railway#06-a,"When each workstation and control unit (workstation or intelligent controller at the FCU or DCU) comes online, the system shall identify it and all its associated device sensors.",it,AMBIGUOUS,
railway#06-b,"When each workstation and control unit (workstation or intelligent controller at the FCU or DCU) comes online, the system shall identify it and all its associated device sensors.",its,AMBIGUOUS,
railway#07,The RLCS software shall initialize each control unit and device sensor as it is identified.,it,AMBIGUOUS,
railway#08,"The devices can be manually controlled/operated from their cabinets (e.g."": Gates).""",their,UNAMBIGUOUS,
railway#09,"The normal operating mode is Monday through Friday, between 5:00am and 8:00pm, but the system must be functional in order to stay in its closed state after hours.",its,UNAMBIGUOUS,
railway#11-a,If the supervision is performed by a RBCÂ itÂ shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.,it,AMBIGUOUS,
railway#11-b,If the supervision is performed by a RBCÂ itÂ shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.,its,AMBIGUOUS,
railway#15,"On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear.",him,UNAMBIGUOUS,
railway#17,If the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point.,it,AMBIGUOUS,
railway#19,"Within the braking curve area, a warning shall be given to the driver to enable him to react and avoid intervention from ETCS equipment at least 5 sec before the intervention.",him,UNAMBIGUOUS,
railway#21,If a train cannot stop at the proposed new target location it shall reject the request and keep the old target location.,it,AMBIGUOUS,
railway#22,The train may proceed unrestricted to the end of its movement authority.,its,UNAMBIGUOUS,
railway#24,"If the text message facility is implemented, it shall not interfere with the ability of users to make or receive high priority voice or data calls.",it,UNAMBIGUOUS,
railway#25,"Where fax functionality is provided, it shall be possible to interrupt the fax to make or receive a high priority voice or data call.",it,AMBIGUOUS,
railway#31,"If the train moves out of the call area whilst the call is in progress, it will leave the call and an audible and visual indication of the loss of call shall be provided to the driver.",it,AMBIGUOUS,
railway#34-b,It should be possible for the Cab radio to be used without the network service (if it should fail or if there is no authorised network coverage) such that local open channel communications are still possible.,it,AMBIGUOUS,
railway#35,"Where the Cab radio is required by a national railway to support a handheld portable, the Cab radio shall: - provide a clear indication as to whether the handheld portable is activated or not; - provide an interface to allow the handheld portable to be recharged when not in use; - forward calls automatically to the handheld portable when the handheld portable is activated; - cancel any call forwarding to the handheld portable when it is deactivated; - allow the driver to override the call forwarding to the handheld portable.",it,UNAMBIGUOUS,
railway#36,"When the MMI is switched on, the configuration shall be determined by the time elapsed since the MMI was last switched off: - less than t minutes â€“ the MMI shall power up with the same configuration as when it was last powered down; - greater than t minutes â€“ the MMI shall power up with default settings.",it,UNAMBIGUOUS,
railway#40-a,The design of the equipment shall make it possible to install it within a cab complying with the requirements of UIC fiche 651 concerning the layout of cab equipment5.,it,AMBIGUOUS,
railway#40-b,The design of the equipment shall make it possible to install it within a cab complying with the requirements of UIC fiche 651 concerning the layout of cab equipment5.,it,AMBIGUOUS,
railway#48,"After the 30 second period, if the connection was unsuccessful, the system shall provide another audible and visual indication that it was unable to connect the call.",it,UNAMBIGUOUS,
railway#49,"For post-incident analysis, it is important that the origination and reception of railway# emergency calls by mobiles is confirmed by a message sent to a ground-based central location (and also recorded in the on-train recording device).""",it,AMBIGUOUS,
railway#50,"Throughout the duration of the shunting group call, it shall be possible for any member of the shunting group to speak to all other members of the group, using the PTT function (as described in sections 5.2.2.53, 6.2.2.12 and 7.2.2.20), except during transmission of the link assurance signal.",it,AMBIGUOUS,
railway#53,"300ms represents our current best estimate of the QoS figure, although this will need to be confirmed through user trials.",our,AMBIGUOUS,
railway#54,Each authority can decide whether it wishes to use synchronised BTSs.,it,UNAMBIGUOUS,
railway#55,The network shall terminate the ongoing VGCS/VBS call if it receives the 3-digit sequence â€œ***â€ transmitted via DTMF signals.,it,AMBIGUOUS,
railway#56,"The network shall send the SET-PARAMETER message with the attribute â€œD-ATT = Tâ€1 [EN 301 515, Index [6]] to the mobile station of the talking subscriber if it receives the 3- digit sequence â€œdddâ€ transmitted via DTMF or the group call SETUP message2 from a controller terminal.",it,AMBIGUOUS,
railway#57-a,When the network has detected the 3-digit DTMF sequence â€œdddâ€ transmitted via DTMF from a controller terminal and if the controller was not previously talking it should indicate its recognition by playing a single DTMF grant tone â€œ?â€ of duration of 100ms ï‚± 5ms to be sent to that controller terminal only.,it,AMBIGUOUS,
railway#57-b,When the network has detected the 3-digit DTMF sequence â€œdddâ€ transmitted via DTMF from a controller terminal and if the controller was not previously talking it should indicate its recognition by playing a single DTMF grant tone â€œ?â€ of duration of 100ms ï‚± 5ms to be sent to that controller terminal only.,its,AMBIGUOUS,
railway#58,"The network shall send the SET-PARAMETER message with the attribute â€œD-ATT = Fâ€3 [EN 301 515, Index [6]] to the mobile of the talking subscriber only if it has received the 3-digit sequence â€œdDDâ€ transmitted via DTMF from all the talking controllers4.",it,AMBIGUOUS,
railway#59,"Many of the railway specific standards referenced are Pre-standards (eg [prEN 50155, ENV 50121, prEN 50125]) and should be re-examined for their applicability to the EIRENE system if any modifications are made to these standards in the future.",their,UNAMBIGUOUS,
railway#60,Each of the other cabs on the train will be contacted using its functional number (registered by the other drivers prior to the establishment of the call).,its,AMBIGUOUS,
railway#61,"Upon registration, the mobile shall be accessible by calling the MSISDN or the Engine or Coach number with which it is associated.",it,UNAMBIGUOUS,
railway#62,The Cab radio system shall provide a means for the driver to terminate established calls which he is authorised to terminate.,he,UNAMBIGUOUS,
home#01,"The Digitalhome programmable Appliance Manager shall provide for management of a homeâ€™s small appliances, including lighting units, by allowing a user to turn them on or off as desired.",them,AMBIGUOUS,
home#02,"Although the product produced under this document will be a â€œprototypeâ€ version, all modules and components of this prototype version shall be designed and implemented in such a manner that it may be incorporated in a fully specified commercial version of the Digitalhome System.",it,AMBIGUOUS,
home#03,The Digitalhome System shall provide users with online documentation about the Digitalhome system installed in their home.,their,UNAMBIGUOUS,
space#01,"The FCP shall, if the NEFU ICP fails to send its ICP Ready signal, mask out that ICP, but continue to use the NE.16.""",its,UNAMBIGUOUS,
space#02-a,Each rate group has some number of tasks associated with it and it also has a rate for those tasks.,it,UNAMBIGUOUS,
space#02-b,Each rate group has some number of tasks associated with it and it also has a rate for those tasks.,it,UNAMBIGUOUS,
space#03,The enabled tasks are then unblocked at the rate given in its associated rate group.,its,AMBIGUOUS,
space#04-a,An API call is available for the task to call to block itself when it is finished with its cyclic processing.,it,AMBIGUOUS,
space#04-b,An API call is available for the task to call to block itself when it is finished with its cyclic processing.,its,AMBIGUOUS,
space#05-a,There is up to a full major frame from notification of an impending mode change to acting on it in minor frame 0 of the next major frame plus the time it takes during the next minor frame 0 to switch tasking.,it,AMBIGUOUS,
space#05-b,There is up to a full major frame from notification of an impending mode change to acting on it in minor frame 0 of the next major frame plus the time it takes during the next minor frame 0 to switch tasking.,it,AMBIGUOUS,
space#06,"The scheduler shall execute cyclic tasks, providing an API call to allow the application to block until its next iteration.",its,AMBIGUOUS,
space#07,"The scheduler shall give tasks priority values according to their rate - the higher the rate, the higher the priority.",their,AMBIGUOUS,
space#08-a,The scheduler shall provide a mechanism to inform a task when it did not complete during the previous frame and restart it at the beginning of the task.,it,AMBIGUOUS,
space#08-b,The scheduler shall provide a mechanism to inform a task when it did not complete during the previous frame and restart it at the beginning of the task.,it,AMBIGUOUS,
space#09,All tasks in rate groups and their corresponding schedules for all vehicle modes will be setup at system initialization.,their,AMBIGUOUS,
space#10,Tasks in a rate group must suspend on a scheduler API call at the top of their execution loop.,their,UNAMBIGUOUS,
space#11,"For hardware exceptions and reserved exceptions, the FTSS shall make the error type and its context data available to the application, then return from the exception handler to the task that was running when the exception occurred.",its,AMBIGUOUS,
space#12,Messages are addressed with a global unique communication identifier that routes them to the appropriate virtual group (VG) and socket.,them,UNAMBIGUOUS,
space#13,This restriction does NOT apply to the ICPs since they are running as simplex VGs.,they,UNAMBIGUOUS,
space#14,FTSS shall mask out a babbling NE or ICP within 40 milliseconds after it is detected.,it,AMBIGUOUS,
space#15,Synchronous message passing sockets shall queue outgoing messages until they are transmitted at frame boundaries.,they,AMBIGUOUS,
space#16-a,Pipes may be opened by multiple receiving tasks if they are created with the broadcast capability; otherwise they may only be opened by one receiving task.,they,AMBIGUOUS,
space#16-b,Pipes may be opened by multiple receiving tasks if they are created with the broadcast capability; otherwise they may only be opened by one receiving task.,they,AMBIGUOUS,
space#17,"Communication services shall provide the capability to create pipes which ""broadcast"" their messages to all virtual groups.""""",their,AMBIGUOUS,
space#18,"If the broadcast option is used, each virtual group should open the pipe and read from it to avoid flow control problems.",it,AMBIGUOUS,
space#19,The application software shall have the capability to reset a permanently failed channel to its initial recovery state.,its,AMBIGUOUS,
space#20,Redundancy Management picks up where it left off in these attempts.,it,UNAMBIGUOUS,
