Domain,Raw Requirements,Manual Evaluation,Automated,ChatGPT ,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Driving,The application shall enable driver to SignIn into system by providing his / her valid email and password,A,A,A,,,,,
Driving,The application shall enable the driver to select his/ her Gender,UA,UA,A,,,,,
Driving,The application shall enable driver to insert his / her CNIC#,UA,A,A,,,,,
Driving,The application shall enable the driver to insert his /her City,UA,UA,A,,,,,
Driving,The application shall enable the driver to update his /her City,A,UA,A,,,,,
Driving,The driver will get points if someone signup using his /her valid link,A,UA,A,,,,,
Driving,The application shall enable driver to view his / her trip history,UA,A,A,,,,,
Driving,Driver shall have to agree with our terms and condition to use our application,A,A,UA,,,,,
Driving,Application shall enable user to Login into system by providing his / her valid email and password,UA,A,A,,,,,
Driving,Application shall enable user to select his/ her Gender,UA,A,A,,,,,
Online Service, Blockchain dashboard will display all the stats and information regarding our private blockchain network.,A,UA,UA,,,,,
Online Service,Through blockchain dashboard we will be able to see busy and online users and all tasks,A,UA,UA,,,,,
Online Service,"As we are working on web-based application with backend in python, so there would be different libraries imported for python and Web App.
",A,E,UA,,,,,
Education,"System shall allow Candidate, Admin logout the system from their own page.",A,A,UA,,,,,
Education,System shall allow The Candidate to give feedback it shows reviews of Candidate ,A,UA,A,,,,,
Online Service,The website shall enable the user to select username and password for their account.,A,UA,UA,,,,,
Online Service,"The website shall enable the user to enter their username and password of their account, in order to access their account.",A,UA,UA,,,,,
Online Service,"Each user will have their own
User Name
Email
",UA,UA,UA,,,,,
Online Service,"Tasker can be provided the option to submit their tasks, and check feedback if they are Sign in. And are registered with any work list.",A,UA,A,,,,,
Online Service,"Customer can invite their group members after signing in , or send message on WhatsApp. ",UA,A,UA,,,,,
Online Service,"Tasker can sent gallery to admin pages after confirmation, it will be added on home page.",A,A,A,,,,,
Online Service,"Tasker can sent video to admin pages after confirmation, it will be added on home page.
",A,A,A,,,,,
Management system,Login Form are provide so the user can have a private space or Dashboard to look upon his work details.,UA,UA,A,,,,,
Management system,Login Form provided so the user can have a private space or Dashboard to look upon his work details and other information.,UA,UA,A,,,,,
Management system,Supervisor can view and mark his attendance,A,A,A,,,,,
Management system,Login Form provided so the user can have Dashboard to look upon his work details and other information.,A,UA,A,,,,,
Management system,Manager have the authority to check upon the attendance of his own department employees only. ,UA,A,A,,,,,
Management system,Manger can terminate his department employees.,UA,UA,A,,,,,
Robotic system,The robot has to reach its target destination safely. ,UA,UA,A,,,,,
Education,The users will be able to create a new profile by entering their details.,UA,ua,UA,,,,,
Education,This system must be consistent with its services.,UA,UA,A,,,,,
Management system,System shall provide report about total trash dumbed on weekly basis along with its humidity measure.,A,A,A,,,,,
Management system,System shall provide report about total trash dumbed on monthly basis along with its humidity measure.,A,A,A,,,,,
Management system,System shall provide report about total trash dumbed on yearly basis along with its humidity measure.,A,A,A,,,,,
Robotic system,The system shall localize itself in the environment.,A,UA,UA,,,,,
Robotic system,The system shall choose the optimized path from its current position to the destination point selected by the user.,UA,UA,A,,,,,
Robotic system,The system will use IR (Infrared) and Ultrasonic sensors to detect obstacles in its path.,UA,UA,A,,,,,
Robotic system,The wheelchair shall stop its motion after detecting the alarming distance from the obstacle.,UA,UA,A,,,,,
Game,It allows the user to enter his/her nickname for the session,UA,UA,A,,,,,
Game,It allows the player the return to the main menu,A,E,A,,,,,
Education,The system shall enable user to enter his credentials,A,A,A,,,,,
Education,The system shall provide the opportunity to see the videos related to IT field,UA,E,A,,,,,
Education,The system shall provide the user to watch videos of their own choice,UA,UA,UA,,,,,
Education,The system shall provide the opportunity to see the books related to IT field,UA,E,A,,,,,
Online Donation,User shall login to their account.,A,A,UA,,,,,
Online Donation,User should get notifications when someone invests in their campaign,A,A,UA,,,,,
Online Donation,User should get notifications when admin approves their campaign,A,A,UA,,,,,
Crime,The application will allow the Citizen to report online only if he agrees to the terms and conditions.,A,UA,A,,,,,
Crime,The application will allow the inspector to update their profile as needed. This includes updating the profile picture.,UA,UA,A,,,,,
Crime,The application enables the inspector to update or modify their personal details given.,UA,UA,UA,,,,,
Crime,The application will allow the inspector to restore his password in case he forgets it through SMS verification.,UA,UA,A,,,,,
Crime,"As soon as a citizen registers a complain, this functionality will allow the inspector to view it when the application in running in the foreground. ",UA,UA,A,,,,,
Crime,The application will provide the inspector to logout from their sign in account.,A,UA,UA,,,,,
Crime,The application will allow the inspector to keep an eye on the patrolling policemen. A map will be shown on his screen where he can check all the policemen.,A,UA,A,,,,,
Crime,The application will allow the patrolling officer after login in to view whether he has been assigned any task.,UA,UA,A,,,,,
Crime,The system shall enable the patrolling officer to update or modify his personal details given.,UA,UA,A,,,,,
Crime,The application will allow the patrolling officer to restore his password in case he forgets it through SMS verification.,UA,UA,A,,,,,
Online Donation,The users should be able to show/hide their personal details.,UA,UA,UA,,,,,
Management system,"For the signup of the user, the user should first register himself in the company's database.",UA,UA,UA,,,,,
Game,"We have used colliders to detect collision of vehicle to terrain, the damage after collision is visible on the car.",UA,E,UA,,,,,
Control System,User should have jdk installed on their system.,UA,A,UA,,,,,
Control System,User must have to locate Input file of Machine meta from his system,UA,A,A,,,,,
Control System,User must have to locate Input file of container meta from his system,UA,A,A,,,,,
Control System,User must have to locate Input file of batch task from his system.,UA,A,A,,,,,
Control System,User must have to name Output file of Machine usage on his system.,UA,A,A,,,,,
Control System,User then have to name Output file of Container usage on his system.,UA,A,A,,,,,
Control System,User must have to name Output file of Thermal Data on his system.,UA,A,A,,,,,
Social media,"Users can change their User Type from Listener to Musician and vice versa, through the Settings Panel.",UA,A,UA,,,,,
Social media,Users can add comments on tracks and show their support for their favourite artists by liking their tracks,A,A,UA,,,,,
Social media,"Users have the ability to make custom playlist(s), which can be renamed to their own liking.",A,A,UA,,,,,
Tracking System,The system should provide fields to driver and passenger where they will enter their credentials for login purpose.,UA,UA,A,,,,,
Tracking System,The system should allow users to select route of their choice.,UA,A,UA,,,,,
Tracking System,The system checks passenger location and location of bus. If they both are same the system should automatically change navigation from bus to university.,A,A,A,,,,,
Tracking System,The system should stop navigation when the bus reaches its destination.,UA,UA,A,,,,,
Tracking System,The system should ask passenger to rate their trip.,A,A,UA,,,,,
Tracking System,The system should allow driver to configure route before starting his journey.,UA,A,A,,,,,
Tracking System,The system should display all routes to drivers and passengers so that they can select one of them.,A,UA,A,,,,,
Tracking System,The system should allow drivers and passengers to view their last 30 trips.,UA,UA,UA,,,,,
Tracking System,The system should allow driver and passengers to edit and update their profiles.,UA,UA,UA,,,,,
Tracking System,The system should not allow drivers and passenger to update their name and ID.,UA,UA,UA,,,,,
Control System,User will be able to delete a website's activity and add his new websites whose activity he wants to check.,A,A,A,,,,,
Control System,Database will keep the records of the users and their current work like their website etc.,UA,UA,UA,,,,,
Control System,"If a user wants to search something about his/her website, he or she can do it by simply retrieving data from database. ",UA,UA,A,,,,,
Social media,The system must provide opportunity to create an account through Sign up button which will redirect them to the sign up panel.,UA,A,UA,,,,,
Social media,The user must be allowed update his/ her password using the password recovery option,UA,UA,A,,,,,
Social media,The user can pre Look his profile details and credentials through Look profile,UA,UA,A,,,,,
Social media,A Category from drop down menu if he wants to see the news of only specific category (i.e. sports).,A,UA,A,,,,,
Social media,The User shall add the location of the news where it occurred,A,UA,A,,,,,
Social media,The User shall add the related pictures or videos of the news which he wants to upload. ,UA,UA,A,,,,,
Social media,The feature allows the user and the administrator to log out of the system from their own account.,UA,UA,UA,,,,,
Sensor Based,The system shall allow the Admin and the end-user to view its Gallery.,A,UA,A,,,,,
Sensor Based,The system shall allow the Admin and the end-user to view its History.,A,UA,A,,,,,
Sensor Based,"The system shall allow end-user to view and make changes in its profile such as Name, Password.",A,UA,A,,,,,
Sensor Based,The system shall allow the admin to change their login credentials,UA,UA,UA,,,,,
Sensor Based,"The application will take the picture through the camera app on the user? android phone or through the gallery, then it will predict its AQL.",UA,UA,A,,,,,
Voting system,Voters will be provide their tazkira number in order to be recognized on the day of election.,UA,A,UA,,,,,
Voting system,User will login by their name (user name) and password.,UA,A,UA,,,,,
Virtual reality,This user shall be able to make changes to his device according to his desire by using this option,A,UA,A,,,,,
Database sysytem,It must show the errors (if any),A,E,A,,,,,
Database sysytem,It must pass the data to api to generate crud,A,E,A,,,,,
Database sysytem,It must return React and Node projects as output,A,E,A,,,,,
Database sysytem,It must validate json object,A,E,A,,,,,
Database sysytem,It should return appropriate error message (if any),A,E,A,,,,,
Database sysytem,It should generate React and Node Project and return to Web client,A,E,A,,,,,
Database sysytem,It should meet the standard Mongo db structure,A,E,A,,,,,
security system,The system shall take the user and registered users to the subjected screen when they select a notification.,UA,UA,A,,,,,
security system,The system shall ask user to first register themselves in the system in order to login.,UA,A,UA,,,,,
security system,"The system shall allow users to edit their profile information i.e. name, email, phone and reset password.",UA,A,UA,,,,,
security system,The system shall allow the PIR sensor to send a single to GPIO pin when it detects infrared radiations indication motion.,A,UA,A,,,,,
security system,The system shall not accept the password if it is not entered within 30 seconds.,A,UA,A,,,,,
Recycling system,The Mobile App shall enable the user to enter their email and password or phone number to login.,UA,UA,UA,,,,,
Recycling system,"The Mobile App shall display annotated trash items, with their names and categories.",A,UA,UA,,,,,
Recycling system,If the alert option is selected then it will alert the organizations that deal with those category of items.,A,UA,A,,,,,
Recycling system,By selecting an item the Mobile App will show further guidelines on its disposal method.,UA,UA,A,,,,,
Recycling system,The Mobile App shall then allow user to select out disposable items they have dealt with.,UA,A,A,,,,,
Recycling system,"The Mobile App shall display user reports such as disposed items over the time, type of items disposed, their frequency, organizations that disposed the items.",A,UA,A,,,,,
Recycling system,The organization will be displayed a success dialog and moved to its dashboard.,A,UA,A,,,,,
Recycling system,The website shall allow the user to edit their account information.,UA,UA,UA,,,,,
Recycling system,The Admin shall select an approval request from a list of requests and approve the account or disapprove it,A,A,A,,,,,
Vehicles,Login page for tenants to manage their apps,A,A,UA,,,,,
Vehicles,"Tenants can add their personal (name, email, dob) information",UA,A,UA,,,,,
Vehicles,"They can create password (password, confirm password)",A,E,A,,,,,
Vehicles,"They can add their payment information (card number, CVV, expiry date)",A,E,A,,,,,
Vehicles,"They can add their company details (company name, company details)",A,E,A,,,,,
Vehicles,Tenants can change their default credentials of subscribed app,UA,A,UA,,,,,
Vehicles,A help page must be shown to the tenant for solving any difficulties they might encounter.,UA,UA,A,,,,,
Vehicles,The developers should follow the guidelines that would be provided to create their database models/tables.,A,UA,A,,,,,
Vehicles,A list of customers will be maintained with their information,UA,A,UA,,,,,
Vehicles,A list of all the orders will be maintained with their delivery status,UA,UA,UA,,,,,
prediction system,The system shall provide search bar to write any form of comment in it,UA,UA,A,,,,,
